slug,traffic
/t/elon-musk-en-us,17525
/t/entertainment-11,13270
/t/send-molly-nobilitt-to-jail-en-us,12421
/t/animal-rights-and-conservation-en-us,12152
/t/women-s-rights-en-us,10605
/t/congressional-integrity-en-us,8022
/t/abortion-access-en-us,6111
/t/free-speech-en-us,5601
/t/gavin-newsom-en-us,4651
/t/aubreigh-wyatt-en-us,4243
/t/v2k-en-us,3572
/t/criminal-justice-en-US,3265
/t/human-rights-iran-en-us,2697
/t/government-and-politics-en-us,2300
/t/plexile-arcade-en-us,2089
/t/boycott-trump-products-en-us,2073
/t/therian-schools-en-us,2026
/t/environment-12,1911
/t/twitter-en-us,1875
/t/justice-for-aubreigh-wyatt-en-us,1840
/t/celebrities,1812
/t/washington-redskins-en-us,1798
/t/chuck-schumer,1735
/t/luigi-mangione-en-us,1691
/t/jake-paul-en-us,1578
/t/iranian-revolution-en-us,1577
/t/abortion-is-murder-en-us,1576
/t/tory-lanez-en-us,1558
/t/black-lives-matter-en-us,1401
/t/music-4,1386
/t/heather-wyatt-en-us,1379
/t/anon-ib-en-us,1329
/t/remote-neural-monitoring-en-us,1328
/t/recount-en-us,1303
/t/genshin-impact-en-us,1297
/t/eversource-en-us,1295
/t/orion-simprini-en-us,1258
/t/entertainment-media-en-us,1254
/t/tv-and-movies,1211
/t/economic-justice-10,1209
/t/hjr-192-of-1933-en-us,1191
/t/gender-equality-en-us,1170
/t/chemtrails-en-us,1094
/t/donald-trump-en-us,1058
/t/education-reform-en-us,1033
/t/biden-step-down-en-us,1027
/t/sedona-en-us,957
/t/firma-es-419,943
/t/2024-election-en-us,927
/t/the-owl-house-en-us,920
/t/animal-rights-en-us,865
/t/therian-school-en-us,844
/t/youth-empowerment-en-us,794
/t/californiapenalsystem-en-us,791
/t/anonib-en-us,789
/t/palestine-3,787
/t/health-en-us,766
/t/sunny-hostin-en-us,727
/t/russian-propaganda-en-ca,721
/t/joke-petition-en-us,716
/t/justice-for-george-floyd-en-us,708
/t/free-luigi-en-us,682
/t/racial-justice-4,675
/t/tiktok-ban-en-us,671
/t/child-and-family-well-being-en-us,640
/t/abortion-rights,636
/t/local-government-en-us,625
/t/electoral-college-en-us,619
/t/public-safety-2,596
/t/arcane-en-us,596
/t/bengals-en-us,594
/t/biden-en-us,593
/t/m%C3%A9xico-es-419,588
/t/yondr-pouches-en-us,577
/t/climate-change-3,576
/t/cincinnati-bengals-en-us,574
/t/national-government-en-us,562
/t/elections-voter-rights-en-us,562
/t/fire-neal-brown-en-us,558
/t/funny-en-us,538
/t/tiktok-en-us,531
/t/sexual-assault-2,525
/t/disney-en-us,513
/t/technology-9,492
/t/kelloggs-en-us,491
/t/m%C3%A9xico-4,486
/t/clemency,474
/t/gun-control,461
/t/voice-to-skull-en-us,457
/t/veterans-4,450
/t/immigration-10,442
/t/mascots-en-us,434
/t/kamala-harris,433
/t/impeach-trump-en-us,432
/t/women-6,426
/t/2nd-amendment-en-us,407
/t/police-accountability-en-us,407
/t/justice-for-mustafa-aljazairi-en-us,406
/t/donald-trump-2024-en-us,386
/t/education-en-us,378
/t/syria-en-us,376
/t/animal-welfare-6,373
/t/oil,370
/t/no-muslim-ban-en-us,365
/t/transgender-students-en-us,365
/t/children-s-rights-2,364
/t/electronic-harassment-en-us,364
/t/health-and-well-being-en-us,362
/t/recount-votes-from-election-en-us,360
/t/lisa-richards-en-ca,356
/t/changing-the-miraculous-animation-back-to-normal-en-us,353
/t/ban-hoodsite-en-us,353
/t/student-issues-en-us,346
/t/joe-biden-en-us,345
/t/sports-12,340
/t/ronnie-mcnutt-en-us,337
/t/corruption-11,327
/t/freedom-of-speech-2,309
/t/congestion-pricing-en-us,308
/t/jack-doherty-en-us,302
/t/animals-13,299
/t/transgender-rights-en-us,298
/t/right-to-bear-arms-en-us,294
/t/jew-hatred-en-us,290
/t/i-ready-en-us,289
/t/remove-trump-en-us,288
/t/voting-en-us,286
/t/orcas-en-us,285
/t/2nd-amendment-rights-en-us,284
/t/mental-health-4,284
/t/politics-9,283
/t/biden-step-aside-en-us,275
/t/login-en-us,273
/t/youtube-censorship-en-us,266
